"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","ACCT-701","Accounting for Managerial Decision Making",NA
"2","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","BUSN-702","Coop/Employment Preparedness",NA
"3","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","BUSN-733","Business Culture and Craft",NA
"4","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","HRPD-701","Human Resources Management in Canada",NA
"5","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","MGMT-701","Information Systems for Business Management",NA
"6","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","MGMT-704","Management and Leadership",NA
"7","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","MKTG-716","Marketing",NA
"8","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","ACCT-702","Financial Management",NA
"9","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","ECON-701","Economic Analysis for Managers",NA
"10","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","ENTP-700","Innovation and Change Management",NA
"11","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","HRPD-702","Contemporary Organizational Behaviour",NA
"12","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","MGMT-702","Crafting and Executing Strategy",NA
"13","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","MGMT-703","Ethics and Stakeholder Management",NA
"14","Centennial College of Applied Arts and Technology","Strategic Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-pls/","OMGT-701","Operations Management for Products and Services",NA
