"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-100","Programming I",NA
"3","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-120","Software Engineering Fundamentals",NA
"4","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-213","Web Interface Design",NA
"5","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","GNED","General Education Elective",NA
"6","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","MATH-175","Functions and Number Systems",NA
"7","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-122","Introduction to Database Concepts",NA
"8","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-123","Programming 2",NA
"9","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-125","Client-Side Web Development",NA
"10","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-225","Software Engineering Methodologies 1",NA
"11","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-301","Unix/Linux Operating Systems",NA
"12","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","MATH-185","Discrete Mathematics",NA
"13","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-214","Advanced Database Concepts",NA
"14","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-228","Java Programming",NA
"15","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-229","Web Application Development",NA
"16","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-246","Object Oriented Software Engineering",NA
"17","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","ENGL-253","Advanced Business Communications",NA
"18","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"19","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","CNET-307","IT Project Management",NA
"20","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-212","Programming 3",NA
"21","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-231","Software Development Project I",NA
"22","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-311","Software Testing and Quality Assurance",NA
"23","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","COMP-316","Software Testing Automated Tools",NA
"24","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","EMPS-101","Employment Skills",NA
"25","Centennial College of Applied Arts and Technology","Software Engineering Technician (Online)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-online/","GNED","General Education Elective",NA
