"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","ACCT-123","Financial Accounting Concepts",NA
"2","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","BUSN-119","Fundamental of Business",NA
"3","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","COMM-160/161","College Communication 1",NA
"4","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","COMP-106","Applied Business Software 1",NA
"5","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"6","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","MKTG-116","Principles of Marketing",NA
"7","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","COMM-170/171","College Communication 2",NA
"8","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","COMP-126","Applied Business Software 2",NA
"9","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","HRMT-301","Human Resources Management",NA
"10","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","MATH-119","Mathematics of Finance II",NA
"11","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","MKTG-331","Marketing Communications",NA
"12","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","BUSN-333","Business Culture and Collaborative Practices",NA
"13","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","ECON-205","Principles of Microeconomics",NA
"14","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","GNED","General Education Elective",NA
"15","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","INTL-220","International Business Concepts",NA
"16","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","MKTG-222","Retailing",NA
"17","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","MKTG-223","Professional Selling",NA
"18","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","BUSN-313","Careers",NA
"19","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","ECON-206","Principles of Macroeconomics",NA
"20","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","GNED","General Education Elective",NA
"21","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","HRMT-300","Organizational Behaviour",NA
"22","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","MKTG-221","Practical Applications in Marketing",NA
"23","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","MKTG-224","Marketing Research",NA
"24","Centennial College of Applied Arts and Technology","Business – Marketing (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-marketing-online/","MKTG-229","Digital Marketing",NA
