"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COOK-101","Principles of Nutrition",NA
"3","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COOK-104","Cook's Desserts",NA
"4","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COOK-105","Theory of Food",NA
"5","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COOK-111","Culinary Skills",NA
"6","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","GNED","General Education Elective",NA
"7","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","HOSP-101","Introduction to Computers (Online)",NA
"8","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"9","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","HOSP-115","Math for Hospitality",NA
"10","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COMM-170/171","College Communication 2",NA
"11","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COOK-202","Catering Culinary Operations",NA
"12","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COOK-204","Cuisine and Culture",NA
"13","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COOK-210","Kitchen Management I",NA
"14","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COOK-211","Culinary Skills II",NA
"15","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COOK-222","Restaurant Culinary Operations",NA
"16","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","COOK-250","Food and Tourism Elective",NA
"17","Centennial College of Applied Arts and Technology","Culinary Skills","https://www.centennialcollege.ca/programs-courses/full-time/culinary-skills/","HOSP-320","Principles of Food, Beverage and Labour Cost Control",NA
