"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BUSN-702","Coop/Employment Preparedness",NA
"2","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BUSN-732","Business Communications 1",NA
"3","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BUSN-734","Canadian Business Environment",NA
"4","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","COMP-701","Introduction to Computer Applications",NA
"5","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","MKTG-748","Statistics for Marketing Research",NA
"6","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-700","Data Acquisition and Management 1",NA
"7","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-701","Analytic Lifecycle Management",NA
"8","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-702","Project Management Skills for Business Analysis",NA
"9","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-703","Confounding and Bias",NA
"10","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-704","Foundations of Python Programming",NA
"11","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-705","Analytic Software Applications",NA
"12","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-706","Applied Analytic Modelling",NA
"13","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-710","Data Acquisition and Management 2",NA
"14","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-711","Quantitative Methods 1",NA
"15","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-712","Operations and Supply Chain Analytics",NA
"16","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-713","Machine Learning and AI",NA
"17","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-714","Digital Marketing Analytics",NA
"18","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-715","Analyst Career Portfolio",NA
"19","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","MGMT-702","Crafting and Executing Strategy",NA
"20","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-720","Analytic Insights",NA
"21","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-721","Quantitative Methods 2",NA
"22","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-722","Financial Analytics",NA
"23","Centennial College of Applied Arts and Technology","Business Analytics and Insights - Canadian Context (Online)","https://www.centennialcollege.ca/programs-courses/full-time/business-analytics-online/","BA-723","Business Analytics Capstone",NA
