"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","CAD 1001","Engineering Graphics",NA
"2","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","ELC 1013","Electrical Fundamentals 1",NA
"3","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MEC 1002","Introduction to Metrology and Geometric Dimensioning",NA
"4","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","INT 1001","Instrumentation I",NA
"5","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MEC 1003","Engineering Materials",NA
"6","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MTH 1050","Algebra I",NA
"7","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","ENG 1002","College Communications",NA
"8","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","ELC 1215","Motor Control Fundamentals 1",NA
"9","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","CAD 1003","Solid Modeling",NA
"10","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MTH 1250","Algebra II",NA
"11","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","FAB 1000","Fabrication Processes",NA
"12","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MEC 1000","Mechatronics I",NA
"13","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","CAD 1200","Computer Aided Drafting II",NA
"14","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","ELN 2320","Power Electronics I",NA
"15","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","ENG 1754","Technical Communication",NA
"16","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","ELC 2425","PLC Basic Programming",NA
"17","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MCH 1001","Mechanics  1",NA
"18","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MTH 2325","Technical Math III",NA
"19","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MEC 1001","Mechatronics II",NA
"20","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MCH 1005","Introduction to Fluid Power",NA
"21","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MCH 1002","Thermodynamics",NA
"22","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","CMP 1015","Intermediate PLC",NA
"23","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","WHS 1002","Workplace Safety and Standards",NA
"24","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","CMP 1012","Data Analysis Tools",NA
"25","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","CAD 1004","Advanced Solid Modelling",NA
"26","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MEC 1004","Mechatronics Design 1",NA
"27","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MCH 1004","Manufacturing Systems",NA
"28","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","TEC 3501","Technical Report Research",NA
"29","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","CMP 1026","Data Communication",NA
"30","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MTH 2400","Calculus I",NA
"31","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MCH 1003","Advanced Mechanics",NA
"32","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MTH 3631","Calculus II",NA
"33","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","MCH 1006","Quality Assurance",NA
"34","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","CMP 1016","Advanced PLC",NA
"35","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","CMP 1060","Programming II",NA
"36","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","TEC 3601","Technical Report",NA
"37","Cambrian College of Applied Arts and Technology","Electromechanical Engineering Technology – Mechatronics","https://cambriancollege.ca/programs/electromechanical-engineering-technology-mechatronics/","INT 1010","Automation System Design 1",NA
