"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1045","Introduction to Accounting",NA
"2","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","BUS 1211","Business Mathematics",NA
"3","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ENG 1002","College Communications",NA
"4","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ISP 3026","Spreadsheets for Business",NA
"5","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","BUS 1146","Introduction to Business Management",NA
"6","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ECN 1101","Microeconomics",NA
"7","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","BUS 1125","Business Professionalism",NA
"8","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1050","Financial Accounting",NA
"9","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","BUS 1212","Financial Mathematics",NA
"10","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","MKT 1204","Foundations of Marketing",NA
"11","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ECN 1202","Macroeconomics",NA
"12","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","BUS 1153","CSR and Ethics",NA
"13","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","BUS 1111","Business Research Methods",NA
"14","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1028","Intermediate Accounting I",NA
"15","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 2321","Introduction to Management Accounting",NA
"16","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1060","Accounting Applications",NA
"17","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","BUS 2040","Organizational Behavior",NA
"18","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","BUS 1233","Statistics",NA
"19","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 3502","Introduction to Audit",NA
"20","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1027","Personal Taxation",NA
"21","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1029","Intermediate Accounting II",NA
"22","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","BUS 2320","Business Law",NA
"23","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","FIN 1016","Introduction to Finance",NA
"24","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1114","Corporate Taxation",NA
"25","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1130","Intermediate Accounting III",NA
"26","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","FIN 1017","Corporate Finance",NA
"27","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1128","Intermediate Management Accounting",NA
"28","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","QMM 1003","Business Analytics",NA
"29","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1030","Business Leadership",NA
"30","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 3610","Field Placement",NA
"31","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","ACC 1035","Strategy and Governance",NA
"32","Cambrian College of Applied Arts and Technology","Business Administration – Accounting","https://cambriancollege.ca/programs/business-administration-accounting/","BUS 1037","Project Management",NA
